nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
9,0.9571428571428572,0.9655172413793104,0.9527244239133371,0.962413594470046,4,34,2
10,0.9628571428571429,0.9712643678160919,0.9591836734693877,0.9687892376681615,5,34,2
11,0.96,0.9712643678160919,0.9559605982168536,0.9687892376681615,6,34,2
12,0.96,0.9712643678160919,0.9559605982168536,0.9687892376681615,7,34,2
13,0.9571428571428572,0.9712643678160919,0.9529042386185244,0.9687892376681615,7,34,2
14,0.9571428571428572,0.9712643678160919,0.9529042386185244,0.9687892376681615,8,34,2
15,0.96,0.9712643678160919,0.9561262132445113,0.9687892376681615,9,34,2
16,0.96,0.9712643678160919,0.9561262132445113,0.9687892376681615,9,34,2
17,0.96,0.9770114942528736,0.9561262132445113,0.975117975117975,10,34,2
18,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,10,34,2
19,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,11,34,2
20,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,12,34,2
21,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,13,34,2
22,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,14,34,2
23,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,15,34,2
24,0.9657142857142857,0.9770114942528736,0.9625321153297174,0.975117975117975,16,34,2
25,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,17,34,2
26,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,18,34,2
27,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,19,34,2
28,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,20,34,2
29,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,21,34,2
30,0.9657142857142857,0.9770114942528736,0.9625321153297174,0.975117975117975,22,34,2
31,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,23,34,2
32,0.9657142857142857,0.9712643678160919,0.9625321153297174,0.9687892376681615,23,34,2
33,0.9628571428571429,0.9770114942528736,0.9593354246543511,0.975117975117975,24,34,2
34,0.9628571428571429,0.9770114942528736,0.9593354246543511,0.975117975117975,25,34,2
1,0.8742857142857143,0.8908045977011494,0.8503401360544218,0.8743300262287603,0,34,2
2,0.9514285714285714,0.9540229885057471,0.9462117719379131,0.9495139997098505,1,34,2
3,0.9542857142857143,0.9655172413793104,0.9494748998520337,0.962413594470046,1,34,2
4,0.9571428571428572,0.9770114942528736,0.9529042386185244,0.975117975117975,2,34,2
5,0.96,0.9770114942528736,0.9561262132445113,0.975117975117975,3,34,2
6,0.96,0.9770114942528736,0.9561262132445113,0.975117975117975,3,34,2
7,0.96,0.9770114942528736,0.9561262132445113,0.975117975117975,4,34,2
8,0.96,0.9770114942528736,0.9561262132445113,0.975117975117975,4,34,2
9,0.96,0.9712643678160919,0.9561262132445113,0.9687892376681615,4,34,2
10,0.9571428571428572,0.9827586206896551,0.9530793361396359,0.9814016460612107,5,34,2
11,0.96,0.9770114942528736,0.9562874678846702,0.975117975117975,6,34,2
12,0.96,0.9827586206896551,0.9562874678846702,0.9814016460612107,7,34,2
13,0.96,0.9770114942528736,0.9562874678846702,0.975117975117975,8,34,2
14,0.96,0.9827586206896551,0.9562874678846702,0.9814016460612107,9,34,2
15,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,10,34,2
16,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,11,34,2
17,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,12,34,2
18,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,13,34,2
19,0.9628571428571429,0.9885057471264368,0.959483165477876,0.9876420454545455,14,34,2
20,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,14,34,2
21,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,14,34,2
22,0.9628571428571429,0.9827586206896551,0.959483165477876,0.9814016460612107,15,34,2
23,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,15,34,2
24,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,16,34,2
25,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,17,34,2
26,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,18,34,2
27,0.9628571428571429,0.9827586206896551,0.9593354246543511,0.9814016460612107,19,34,2
28,0.9657142857142857,0.9885057471264368,0.962393897066724,0.9876420454545455,20,34,2
29,0.9657142857142857,0.9885057471264368,0.962393897066724,0.9876420454545455,21,34,2
30,0.9657142857142857,0.9885057471264368,0.962393897066724,0.9876420454545455,21,34,2
31,0.9657142857142857,0.9885057471264368,0.962393897066724,0.9876420454545455,22,34,2
32,0.9628571428571429,0.9885057471264368,0.9591836734693877,0.9876420454545455,23,34,2
33,0.9628571428571429,0.9885057471264368,0.9591836734693877,0.9876420454545455,24,34,2
34,0.9628571428571429,0.9885057471264368,0.9591836734693877,0.9876420454545455,25,34,2
